PID: 11, Nombre: kworker/0:1-events, CPU: 2, CPU Time: 2.41, Arrival: 1969-12-31 19:00:00, Completion: 9.30, Turnaround: 9.30, Waiting: 6.89
PID: 13, Nombre: kworker/R-mm_percpu_wq, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.30, Turnaround: 9.30, Waiting: 8.30
PID: 14, Nombre: rcu_tasks_kthread, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.30, Turnaround: 9.30, Waiting: 8.30
PID: 15, Nombre: rcu_tasks_rude_kthread, CPU: 1, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.40, Turnaround: 9.40, Waiting: 8.40
PID: 16, Nombre: rcu_tasks_trace_kthread, CPU: 2, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.40, Turnaround: 9.40, Waiting: 8.40
PID: 19, Nombre: rcu_exp_par_gp_kthread_worker/0, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.40, Turnaround: 9.40, Waiting: 8.40
PID: 20, Nombre: rcu_exp_gp_kthread_worker, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.40, Turnaround: 9.40, Waiting: 8.40
PID: 27, Nombre: ksoftirqd/2, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.50, Turnaround: 9.50, Waiting: 8.50
PID: 4, Nombre: kworker/R-rcu_gp, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.50, Turnaround: 9.50, Waiting: 8.50
PID: 3, Nombre: pool_workqueue_release, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.60, Turnaround: 9.60, Waiting: 8.60
PID: 23, Nombre: cpuhp/0, CPU: 4, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.60, Turnaround: 9.60, Waiting: 8.60
PID: 22, Nombre: idle_inject/0, CPU: 3, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 9.80, Turnaround: 9.80, Waiting: 8.80
PID: 5, Nombre: kworker/R-sync_wq, CPU: 1, CPU Time: 1.00, Arrival: 1969-12-31 19:00:00, Completion: 10.10, Turnaround: 10.10, Waiting: 9.10
